nodes	class	node_lab
Aac3-IIa_AGly	AGly	Aac3-IIa
Aac6-Aph2_AGly	AGly	Aac6-Aph2
AacAad_AGly	AGly	AacAad
AadA_AGly	AGly	AadA
AadD_AGly	AGly	AadD
Ant6-Ia_AGly	AGly	Ant6-Ia
Aph3-III_AGly	AGly	Aph3-III
Aph3Ia_AGly	AGly	Aph3Ia
ArmA_AGly	AGly	ArmA
BlaZ_Bla	Bla	BlaZ
CatA_Phe	Phe	CatA
CatA1_Phe	Phe	CatA1
CatBx_Phe	Phe	CatBx
CTX-M-1_Bla	Bla	CTX-M-1
DfrA5_Tmt	Tmt	DfrA5
DfrC_Tmt	Tmt	DfrC
ErmA_MLS	MLS	ErmA
ErmB_MLS	MLS	ErmB
ErmC_MLS	MLS	ErmC
Far1_Fcd	Fcd	Far1
FloR_Phe	Phe	FloR
MECA_Bla	Bla	MECA
MphC_MLS	MLS	MphC
MphE_MLS	MLS	MphE
MsrA_MLS	MLS	MsrA
OqxA_Flq	Flq	OqxA
OXA-1_Bla	Bla	OXA-1
OXA-23_Bla	Bla	OXA-23
QnrB_Flq	Flq	QnrB
StrA_AGly	AGly	StrA
StrB_AGly	AGly	StrB
SulII_Sul	Sul	SulII
TetL_Tet	Tet	TetL
VanA_Gly	Gly	VanA
VanC1_Gly	Gly	VanC1
VanH-Pt_Gly	Gly	VanH-Pt
VanR-A_Gly	Gly	VanR-A
VanR-C_Gly	Gly	VanR-C
VanS-A_Gly	Gly	VanS-A
VanS-C_Gly	Gly	VanS-C
VanT_Gly	Gly	VanT
VanX-M_Gly	Gly	VanX-M
TEM-1D_Bla	Bla	TEM-1D
TetA_Tet	Tet	TetA
Sat4A_AGly	AGly	Sat4A
TetK_Tet	Tet	TetK
Dfr_Tmt	Tmt	Dfr
SulIII_Sul	Sul	SulIII
MsrE_MLS	MLS	MsrE
Spc_AGly	AGly	Spc
LinB_MLS	MLS	LinB
TetM_Tet	Tet	TetM
OqxB_Flq	Flq	OqxB
TetB_Tet	Tet	TetB
VanY-A_Gly	Gly	VanY-A
VanX-Yc_Gly	Gly	VanX-Yc
